recno,Name,RAJ2000,DEJ2000,z,logsigma,e_logsigma,logLXbol
151,"Coma cluster",194.95291666666665,27.98055555555555,0.023,3.0,0.02,45.31
152,"ZWCL 1305.4+2941",196.95833333333331,29.428888888888885,0.241,2.91,0.06,44.16
153,"Abell 1689",197.89249999999998,-1.3655555555555554,0.183,3.26,0.05,45.75
154,"NGC 5044GRP",198.5945833333333,-16.534444444444443,0.008,2.56,0.13,43.25
155,"NRGS 241",200.06916666666663,33.13694444444444,0.037,2.7,0.04,43.52
156,"Abell 3556",201.0258333333333,-31.66055555555555,0.048,2.76,0.06,44.33
157,"NGC 5129GRP",201.14999999999998,13.927777777777775,0.023,2.43,0.06,42.78
158,"*GHO 1322+3027",201.2008333333333,30.192777777777774,0.751,3.2,0.07,45.22
159,"Abell 1736",201.7170833333333,-27.109166666666663,0.046,2.72,0.09,44.68
160,"Abell 3558",201.9783333333333,-31.492222222222217,0.048,2.87,0.03,45.12
161,"NGC 5171GRP",202.34291666666664,11.791944444444443,0.023,2.6,0.04,42.92
162,"SC1327-312",202.4458333333333,-31.608055555555552,0.05,2.76,0.09,44.5
163,"Abell 3559",202.4745833333333,-29.52472222222222,0.046,2.66,0.06,43.65
164,"Abell 3562",203.38249999999996,-31.67305555555555,0.049,2.87,0.03,44.79
165,"NRGB 251",203.6070833333333,34.681666666666665,0.025,2.42,0.05,43.04
166,"Abell 1767",204.00124999999997,59.211944444444434,0.07,2.97,0.09,44.67
167,"RX J1340.6+4018",205.13916666666663,40.29666666666666,0.171,2.58,0.26,43.65
168,"Abell 1775",205.48166666666663,26.36472222222222,0.072,3.18,0.12,44.78
169,"SS2S 237",205.99499999999998,-19.84222222222222,0.033,2.62,0.1,42.75
170,"Abell 3571",206.87041666666664,-32.86583333333333,0.039,3.02,0.04,45.26
171,"Abell 1795",207.2520833333333,26.585277777777772,0.063,2.92,0.04,45.41
172,"HCG 67",207.2645833333333,-7.205555555555555,0.024,2.38,0.13,41.69
173,"Abell 1800",207.42249999999999,28.068888888888885,0.075,2.86,0.13,44.84
174,"NGC 5353GRP",207.90416666666664,40.53666666666666,0.008,2.24,0.13,41.76
175,"Abell 1809",208.32874999999999,5.154166666666666,0.079,2.88,0.04,44.56
176,"HCG 68",208.42041666666663,40.3186111111111,0.008,2.26,0.13,41.28
177,"Abell 1831",209.79249999999996,27.991111111111106,0.061,2.5,0.13,44.64
178,"ZWCL 1358.1+6245",209.97624999999996,62.50999999999999,0.328,2.97,0.03,45.34
179,"3C295",212.8358333333333,52.20249999999999,0.464,3.22,0.09,45.41
180,"Abell 1904",215.53291666666664,48.55611111111111,0.071,2.86,0.07,44.12
181,"Abell 1913",216.7158333333333,16.67611111111111,0.053,2.66,0.1,43.9
182,"NRGB 302",217.13791666666663,11.36861111111111,0.026,2.51,0.04,42.65
183,"WBL 514",218.50374999999997,3.7811111111111106,0.029,2.76,0.2,43.18
184,"Abell 1940",218.86499999999998,55.149444444444434,0.14,2.73,0.11,44.55
185,"WBL 518",220.1795833333333,3.453055555555555,0.027,2.63,0.08,44.15
186,"N56-381",221.77749999999997,11.591388888888888,0.029,2.42,0.04,42.48
187,"NRGS 317",221.7908333333333,13.706388888888887,0.03,2.5,0.05,43.11
188,"CL 1446+26",222.36749999999998,26.132499999999997,0.37,3.17,0.13,45.03
189,"Abell 1983",223.1833333333333,16.74611111111111,0.044,2.74,0.05,44.03
190,"Abell 1991",223.6258333333333,18.63083333333333,0.059,2.82,0.11,44.47
191,"MS 1455.0+2232",224.3133333333333,22.341666666666665,0.258,3.05,0.05,45.47
192,"Abell 2009",225.0633333333333,21.369166666666665,0.153,2.91,0.13,45.36
193,"HCG 73",225.6670833333333,23.353611111111107,0.045,1.98,0.13,42.43
194,"NGC 5846GRP",226.4458333333333,1.5736111111111108,0.006,2.57,0.13,42.36
195,"Abell 2029",227.7445833333333,5.761666666666666,0.077,3.07,0.03,45.62
196,"Abell 2040",228.1883333333333,7.429999999999999,0.046,2.66,0.12,43.94
197,"MS 1512.4+3647",228.6045833333333,36.60833333333333,0.372,2.84,0.06,44.88
198,"Abell 2052",229.1895833333333,7.000277777777777,0.035,2.75,0.06,44.63
199,"Abell 2061",230.31374999999997,30.65472222222222,0.078,2.74,0.08,44.95
200,"MKW 03S",230.46124999999998,7.704999999999999,0.045,2.78,0.04,44.65
201,"Abell 2065",230.67749999999998,27.722499999999997,0.073,3.04,0.12,45.13
202,"Abell 2063",230.75749999999996,8.639444444444443,0.035,2.82,0.03,44.57
203,"Abell 2069",230.99124999999998,29.89055555555555,0.116,2.92,0.13,45.3
204,"Abell 2079",232.0195833333333,28.877777777777773,0.066,2.83,0.06,44.43
205,"WBL 574",233.1220833333333,4.681666666666666,0.04,2.53,0.13,43.0
206,"Abell 2092",233.3308333333333,31.14944444444444,0.067,2.7,0.08,43.95
207,"Abell 2107",234.9495833333333,21.772499999999997,0.041,2.76,0.11,44.31
208,"Abell 2124",236.2470833333333,36.0611111111111,0.066,2.91,0.04,44.49
209,"Abell 2142",239.5670833333333,27.22472222222222,0.091,3.05,0.04,45.79
210,"Abell 2147",240.57166666666663,15.895277777777775,0.035,3.03,0.09,44.75
211,"Abell 2152",241.3433333333333,16.44861111111111,0.041,2.85,0.04,43.76
212,"Abell 2162",243.12499999999997,29.539722222222217,0.032,2.56,0.07,43.32
213,"Abell 2163",243.8920833333333,-6.123888888888888,0.203,3.23,0.13,46.12
214,"NRGS 385",244.31416666666664,34.916666666666664,0.031,2.78,0.03,43.51
215,"CID64",244.49999999999997,35.099999999999994,0.03,2.77,0.13,43.6
216,"NRGS 388",245.75416666666663,37.92249999999999,0.033,2.67,0.08,43.19
217,"MS 1621.5+2640",245.89874999999998,26.563888888888886,0.426,2.9,0.03,44.91
218,"Abell 2197",247.0433333333333,40.90722222222222,0.031,2.75,0.06,43.51
219,"HCG 82",247.0920833333333,32.823611111111106,0.036,2.85,0.13,42.29
220,"Abell 2199",247.15416666666664,39.52444444444444,0.03,2.9,0.04,44.85
221,"HCG 83",248.92041666666663,6.269999999999999,0.053,2.7,0.13,42.81
222,"Abell 2218",248.97499999999997,66.21666666666665,0.176,3.14,0.06,45.34
223,"NRGS 404",254.50999999999996,27.86166666666666,0.035,2.56,0.09,43.56
224,"Abell 2244",255.6833333333333,34.04666666666666,0.097,3.09,0.13,45.4
225,"Abell 2256",255.93124999999998,78.71749999999999,0.058,3.13,0.02,45.26
226,"Abell 2255",258.1291666666666,64.09249999999999,0.081,3.09,0.05,45.09
227,"NGC 6338GRP",258.83916666666664,57.378611111111105,0.028,2.77,0.13,43.93
228,"RX J1716.6+6708",259.20666666666665,67.14166666666665,0.813,3.18,0.05,45.24
229,"Abell 2271",259.32291666666663,78.01666666666665,0.058,2.66,0.13,44.09
230,"RX J1736.4+6804",264.11541666666665,68.07527777777777,0.026,2.46,0.13,43.06
231,"Abell 2280",265.7775,63.746111111111105,0.326,2.98,0.18,45.22
232,"RX J1755.8+6236",268.9283333333333,62.627777777777766,0.027,2.59,0.13,43.09
233,"RX J1756.5+6512",269.13124999999997,65.21583333333332,0.027,2.29,0.13,42.65
234,"Abell S0805",281.80999999999995,-63.32916666666666,0.014,2.67,0.08,43.3
235,"HCG 85",282.5929166666666,73.35,0.039,2.62,0.13,42.27
236,"Abell 2319",290.18874999999997,43.96194444444444,0.056,3.19,0.02,45.6
237,"HCG 86",297.9966666666666,-30.826111111111107,0.02,2.48,0.13,42.32
238,"Abell 3651",298.0454166666666,-55.08777777777777,0.06,2.8,0.04,44.52
239,"Abell 3667",303.12541666666664,-56.816666666666656,0.056,2.99,0.02,45.36
240,"Abell 3693",308.59166666666664,-34.49444444444444,0.091,2.68,0.07,44.66
241,"Abell 3695",308.69874999999996,-35.82749999999999,0.089,2.89,0.03,45.06
242,"Abell 3716",312.8195833333333,-52.69527777777777,0.046,2.98,0.05,44.37
